Time,rot_z
0,-2.24107124686347
0.01,-4.48214249372694
0.02,-6.7122490906779
0.03,-8.91370555338178
0.04,-11.1085449475042
0.05,-13.3239490409648
0.06,-15.546627064534
0.07,-17.7547797299346
0.08,-19.9586453644285
0.09,-22.1546490530091
0.1,-24.3450000316955
0.11,-26.5361537180691
0.12,-28.7410626473205
0.13,-30.9407294346178
0.14,-33.1244024698158
0.15,-33.0899398759522
0.16,-33.0904536780552
0.17,-33.0980189969377
0.18,-33.0497303802196
0.19,-32.9834915158326
0.2,-32.9272262759522
0.21,-32.8353922729704
0.22,-32.6645555501136
0.23,-32.4806255632374
0.24,-32.3207063837917
0.25,-32.2634427885243
0.26,-32.2696064882594
0.27,-32.29818456814
0.28,-32.3803707271531
0.29,-32.4877920259515
0.3,-32.612196266029
0.31,-32.737688043233
0.32,-32.7974609251817
0.33,-32.8924238461749
0.34,-32.9972935265887
0.35,-33.0586009719378
0.36,-33.141646311806
0.37,-33.3330328605993
0.38,-33.5570840106278
0.39,-33.7662439051418
0.4,-33.8699013334734
0.41,-33.888587447493
0.42,-33.834198882563
0.43,-33.6929463299694
0.44,-33.502518852276
0.45,-33.2533908480667
0.46,-32.9524958237815
0.47,-32.7050473955195
0.48,-32.4884509559546
0.49,-32.2724888026476
0.5,-32.0537936090739
0.51,-31.8237828821384
0.52,-31.5636742971408
0.53,-31.2873672778152
0.54,-31.0142242273684
0.55,-30.7492855481896
0.56,-30.5116247372269
0.57,-30.3312166366157
0.58,-30.2324552813588
0.59,-30.2258489990474
0.6,-30.3020005999253
0.61,-30.4622014786505
0.62,-30.6943141281114
0.63,-30.9894634526571
0.64,-31.326972432681
0.65,-31.6962036412203
0.66,-32.0877578075773
0.67,-32.5080328141213
0.68,-32.9409659527474
0.69,-33.3914446351624
0.7,-33.8538946024165
0.71,-34.3134479269861
0.72,-34.7452968419407
0.73,-35.1196993346087
0.74,-35.4334505717227
0.75,-35.6776872274356
0.76,-35.845971190783
0.77,-35.946830384486
0.78,-36.0025830171326
0.79,-36.020671302394
0.8,-36.0228197606164
0.81,-36.0261124871332
0.82,-36.009204948314
0.83,-35.9653851611146
0.84,-35.8993692573558
0.85,-35.8104171046063
0.86,-35.702284514408
0.87,-35.5769222938794
0.88,-35.4513943346019
0.89,-35.3353220870026
0.9,-35.2264974889529
0.91,-35.1248580015971
0.92,-35.072152375405
0.93,-35.0280108199122
0.94,-34.9924029131312
0.95,-34.9604255421852
0.96,-34.9780694420075
0.97,-35.0067118034858
0.98,-35.0558760938986
0.99,-35.1177211222119
1,-35.1893157665356
1.01,-35.2845813116295
1.02,-35.4099705463986
1.03,-35.5544089371243
1.04,-35.6998117141938
1.05,-35.8568679300674
1.06,-36.024197259587
1.07,-36.1482740269441
1.08,-36.259700396619
1.09,-36.3899275233019
1.1,-36.499503436226
1.11,-36.5721425744458
1.12,-36.6226253041949
1.13,-36.6647193028916
1.14,-36.7042640219746
1.15,-36.7310064420915
1.16,-36.749070614724
1.17,-36.7610388384194
1.18,-36.7591743912734
1.19,-36.7497696268245
1.2,-36.730897373031
1.21,-36.696512499507
1.22,-36.6713053030267
1.23,-36.6547008352317
1.24,-36.61449968056
1.25,-36.5877983811129
1.26,-36.5487791591336
1.27,-36.5312922275163
1.28,-36.519752043783
1.29,-36.5195482144865
1.3,-36.5402439844892
1.31,-36.5540869821991
1.32,-36.5839955542353
1.33,-36.6255275439679
1.34,-36.6623506102936
1.35,-36.688182798973
1.36,-36.7145273105636
1.37,-36.7343206455721
1.38,-36.7598384779082
1.39,-36.7986569196523
1.4,-36.8445827552428
1.41,-36.8751368373758
1.42,-36.9083027169312
1.43,-36.9430112964072
1.44,-36.9589732778826
1.45,-36.9586676898769
1.46,-36.9789057165285
