ts_ns,period_ns,jitter_ns,late
1300400,1300400,-699600,0
3856200,2555800,555800,0
5937800,2081600,81600,0
8118000,2180200,180200,0
10252200,2134200,134200,0
12152900,1900700,-99300,0
13664900,1512000,-488000,0
15697600,2032700,32700,0
17670800,1973200,-26800,0
19687000,2016200,16200,0
21867100,2180100,180100,0
23302600,1435500,-564500,0
26322500,3019900,1019900,0
28326800,2004300,4300,0
30310700,1983900,-16100,0
32355400,2044700,44700,0
34656600,2301200,301200,0
35372800,716200,-1283800,0
37685200,2312400,312400,0
39745900,2060700,60700,0
41647300,1901400,-98600,0
43639100,1991800,-8200,0
45165300,1526200,-473800,0
47355700,2190400,190400,0
50555500,3199800,1199800,0
52557600,2002100,2100,0
54067400,1509800,-490200,0
56171900,2104500,104500,0
58292100,2120200,120200,0
60344200,2052100,52100,0
62352300,2008100,8100,0
63848100,1495800,-504200,0
65832800,1984700,-15300,0
67938600,2105800,105800,0
69858800,1920200,-79800,0
72037500,2178700,178700,0
73521700,1484200,-515800,0
76487000,2965300,965300,0
78492700,2005700,5700,0
80478400,1985700,-14300,0
82498000,2019600,19600,0
83979100,1481100,-518900,0
86050500,2071400,71400,0
88074300,2023800,23800,0
90007600,1933300,-66700,0
92072400,2064800,64800,0
93502000,1429600,-570400,0
96569600,3067600,1067600,0
98619700,2050100,50100,0
99359400,739700,-1260300,0
102171200,2811800,811800,0
103610300,1439100,-560900,0
105698500,2088200,88200,0
107246500,1548000,-452000,0
110247300,3000800,1000800,0
112215700,1968400,-31600,0
113701700,1486000,-514000,0
115851200,2149500,149500,0
117752900,1901700,-98300,0
119029700,1276800,-723200,0
122078600,3048900,1048900,0
123537800,1459200,-540800,0
126586000,3048200,1048200,0
128592200,2006200,6200,0
129325700,733500,-1266500,0
131584700,2259000,259000,0
134051800,2467100,467100,0
136129800,2078000,78000,0
137306500,1176700,-823300,0
139841100,2534600,534600,0
141922200,2081100,81100,0
143298900,1376700,-623300,0
146314100,3015200,1015200,0
147502000,1187900,-812100,0
150548100,3046100,1046100,0
152645900,2097800,97800,0
153486000,840100,-1159900,0
155934000,2448000,448000,0
157890900,1956900,-43100,0
159909200,2018300,18300,0
162225200,2316000,316000,0
163717400,1492200,-507800,0
166046100,2328700,328700,0
168100100,2054000,54000,0
170062200,1962100,-37900,0
172130700,2068500,68500,0
173560800,1430100,-569900,0
176784500,3223700,1223700,0
177203000,418500,-1581500,0
179584600,2381600,381600,0
182630400,3045800,1045800,0
183216200,585800,-1414200,0
186482600,3266400,1266400,0
188538200,2055600,55600,0
190541400,2003200,3200,0
192519900,1978500,-21500,0
194027700,1507800,-492200,0
196043300,2015600,15600,0
197452200,1408900,-591100,0
200063000,2610800,610800,0
201550700,1487700,-512300,0
204121400,2570700,570700,0
206167200,2045800,45800,0
208172600,2005400,5400,0
210169000,1996400,-3600,0
211370100,1201100,-798900,0
213941200,2571100,571100,0
215919500,1978300,-21700,0
217966400,2046900,46900,0
219945500,1979100,-20900,0
222026400,2080900,80900,0
223507800,1481400,-518600,0
226606900,3099100,1099100,0
227446800,839900,-1160100,0
229719900,2273100,273100,0
231729600,2009700,9700,0
233413600,1684000,-316000,0
236684400,3270800,1270800,0
237677100,992700,-1007300,0
239619100,1942000,-58000,0
241715700,2096600,96600,0
243446900,1731200,-268800,0
245918900,2472000,472000,0
247373500,1454600,-545400,0
250388100,3014600,1014600,0
252448100,2060000,60000,0
254854300,2406200,406200,0
255282900,428600,-1571400,0
257932900,2650000,650000,0
259939500,2006600,6600,0
261898600,1959100,-40900,0
263420700,1522100,-477900,0
